id;nr;name;first_name;category;club;birthday;sex;email;symbol;paid;description;user field_1;user field_2;user field_3;user field_4
331;331;Tag 331;;26;;;;;;;;;;;
332;332;Tag 332;;26;;;;;;;;;;;
333;333;Tag 333;;26;;;;;;;;;;;
334;334;Tag 334;;26;;;;;;;;;;;
335;335;Tag 335;;26;;;;;;;;;;;
336;336;Tag 336;;26;;;;;;;;;;;
337;337;Tag 337;;26;;;;;;;;;;;
338;338;Tag 338;;26;;;;;;;;;;;
339;339;Tag 339;;26;;;;;;;;;;;
340;340;Tag 340;;26;;;;;;;;;;;
341;341;Tag 341;;26;;;;;;;;;;;
342;342;Tag 342;;26;;;;;;;;;;;
343;343;Tag 343;;26;;;;;;;;;;;
344;344;Tag 344;;26;;;;;;;;;;;
345;345;Tag 345;;26;;;;;;;;;;;
346;346;Tag 346;;26;;;;;;;;;;;
347;347;Tag 347;;26;;;;;;;;;;;
348;348;Tag 348;;26;;;;;;;;;;;
349;349;Tag 349;;26;;;;;;;;;;;
350;350;Tag 350;;26;;;;;;;;;;;
351;351;Tag 351;;26;;;;;;;;;;;
352;352;Tag 352;;26;;;;;;;;;;;
353;353;Tag 353;;26;;;;;;;;;;;
354;354;Tag 354;;26;;;;;;;;;;;
355;355;Tag 355;;26;;;;;;;;;;;
356;356;Tag 356;;26;;;;;;;;;;;
357;357;Tag 357;;26;;;;;;;;;;;
358;358;Tag 358;;26;;;;;;;;;;;
359;359;Tag 359;;26;;;;;;;;;;;
360;360;Tag 360;;26;;;;;;;;;;;
361;361;Tag 361;;26;;;;;;;;;;;
362;362;Tag 362;;26;;;;;;;;;;;
363;363;Tag 363;;26;;;;;;;;;;;
364;364;Tag 364;;26;;;;;;;;;;;
365;365;Tag 365;;26;;;;;;;;;;;
366;366;Tag 366;;26;;;;;;;;;;;
367;367;Tag 367;;26;;;;;;;;;;;
368;368;Tag 368;;26;;;;;;;;;;;
369;369;Tag 369;;26;;;;;;;;;;;
370;370;Tag 370;;26;;;;;;;;;;;
371;371;Tag 371;;26;;;;;;;;;;;
372;372;Tag 372;;26;;;;;;;;;;;
373;373;Tag 373;;26;;;;;;;;;;;
374;374;Tag 374;;26;;;;;;;;;;;
375;375;Tag 375;;26;;;;;;;;;;;
376;376;Tag 376;;26;;;;;;;;;;;
377;377;Tag 377;;26;;;;;;;;;;;
378;378;Tag 378;;26;;;;;;;;;;;
379;379;Tag 379;;26;;;;;;;;;;;
380;380;Tag 380;;26;;;;;;;;;;;
381;381;Tag 381;;26;;;;;;;;;;;
382;382;Tag 382;;26;;;;;;;;;;;
383;383;Tag 383;;26;;;;;;;;;;;
384;384;Tag 384;;26;;;;;;;;;;;
385;385;Tag 385;;26;;;;;;;;;;;
386;386;Tag 386;;26;;;;;;;;;;;
387;387;Tag 387;;26;;;;;;;;;;;
388;388;Tag 388;;26;;;;;;;;;;;
389;389;Tag 389;;26;;;;;;;;;;;
390;390;Tag 390;;26;;;;;;;;;;;
391;391;Tag 391;;26;;;;;;;;;;;
392;392;Tag 392;;26;;;;;;;;;;;
393;393;Tag 393;;26;;;;;;;;;;;
394;394;Tag 394;;26;;;;;;;;;;;
395;395;Tag 395;;26;;;;;;;;;;;
396;396;Tag 396;;26;;;;;;;;;;;
397;397;Tag 397;;26;;;;;;;;;;;
398;398;Tag 398;;26;;;;;;;;;;;
399;399;Tag 399;;26;;;;;;;;;;;
400;400;Tag 400;;26;;;;;;;;;;;
401;401;Tag 401;;26;;;;;;;;;;;
402;402;Tag 402;;26;;;;;;;;;;;
403;403;Tag 403;;26;;;;;;;;;;;
404;404;Tag 404;;26;;;;;;;;;;;
405;405;Tag 405;;26;;;;;;;;;;;
406;406;Tag 406;;26;;;;;;;;;;;
407;407;Tag 407;;26;;;;;;;;;;;
408;408;Tag 408;;26;;;;;;;;;;;
409;409;Tag 409;;26;;;;;;;;;;;
410;410;Tag 410;;26;;;;;;;;;;;
411;411;Tag 411;;26;;;;;;;;;;;
412;412;Tag 412;;26;;;;;;;;;;;
413;413;Tag 413;;26;;;;;;;;;;;
414;414;Tag 414;;26;;;;;;;;;;;
415;415;Tag 415;;26;;;;;;;;;;;
416;416;Tag 416;;26;;;;;;;;;;;
417;417;Tag 417;;26;;;;;;;;;;;
418;418;Tag 418;;26;;;;;;;;;;;
419;419;Tag 419;;26;;;;;;;;;;;
420;420;Tag 420;;26;;;;;;;;;;;
421;421;Tag 421;;26;;;;;;;;;;;
422;422;Tag 422;;26;;;;;;;;;;;
423;423;Tag 423;;26;;;;;;;;;;;
424;424;Tag 424;;26;;;;;;;;;;;
425;425;Tag 425;;26;;;;;;;;;;;
426;426;Tag 426;;26;;;;;;;;;;;
427;427;Tag 427;;26;;;;;;;;;;;
428;428;Tag 428;;26;;;;;;;;;;;
429;429;Tag 429;;26;;;;;;;;;;;
430;430;Tag 430;;26;;;;;;;;;;;
431;431;Tag 431;;26;;;;;;;;;;;
432;432;Tag 432;;26;;;;;;;;;;;
433;433;Tag 433;;26;;;;;;;;;;;
434;434;Tag 434;;26;;;;;;;;;;;
435;435;Tag 435;;26;;;;;;;;;;;
436;436;Tag 436;;26;;;;;;;;;;;
437;437;Tag 437;;26;;;;;;;;;;;
438;438;Tag 438;;26;;;;;;;;;;;
439;439;Tag 439;;26;;;;;;;;;;;
440;440;Tag 440;;26;;;;;;;;;;;
441;441;Tag 441;;26;;;;;;;;;;;
442;442;Tag 442;;26;;;;;;;;;;;
443;443;Tag 443;;26;;;;;;;;;;;
444;444;Tag 444;;26;;;;;;;;;;;
445;445;Tag 445;;26;;;;;;;;;;;
446;446;Tag 446;;26;;;;;;;;;;;
447;447;Tag 447;;26;;;;;;;;;;;
448;448;Tag 448;;26;;;;;;;;;;;
449;449;Tag 449;;26;;;;;;;;;;;
450;450;Tag 450;;26;;;;;;;;;;;
451;451;Tag 451;;26;;;;;;;;;;;
452;452;Tag 452;;26;;;;;;;;;;;
453;453;Tag 453;;26;;;;;;;;;;;
454;454;Tag 454;;26;;;;;;;;;;;
455;455;Tag 455;;26;;;;;;;;;;;
456;456;Tag 456;;26;;;;;;;;;;;
457;457;Tag 457;;26;;;;;;;;;;;
458;458;Tag 458;;26;;;;;;;;;;;
459;459;Tag 459;;26;;;;;;;;;;;
460;460;Tag 460;;26;;;;;;;;;;;
461;461;Tag 461;;26;;;;;;;;;;;
462;462;Tag 462;;26;;;;;;;;;;;
463;463;Tag 463;;26;;;;;;;;;;;
464;464;Tag 464;;26;;;;;;;;;;;
465;465;Tag 465;;26;;;;;;;;;;;
466;466;Tag 466;;26;;;;;;;;;;;
467;467;Tag 467;;26;;;;;;;;;;;
468;468;Tag 468;;26;;;;;;;;;;;
469;469;Tag 469;;26;;;;;;;;;;;
470;470;Tag 470;;26;;;;;;;;;;;
471;471;Tag 471;;26;;;;;;;;;;;
472;472;Tag 472;;26;;;;;;;;;;;
473;473;Tag 473;;26;;;;;;;;;;;
474;474;Tag 474;;26;;;;;;;;;;;
475;475;Tag 475;;26;;;;;;;;;;;
476;476;Tag 476;;26;;;;;;;;;;;
477;477;Tag 477;;26;;;;;;;;;;;
478;478;Tag 478;;26;;;;;;;;;;;
479;479;Tag 479;;26;;;;;;;;;;;
480;480;Tag 480;;26;;;;;;;;;;;
481;481;Tag 481;;26;;;;;;;;;;;
482;482;Tag 482;;26;;;;;;;;;;;
483;483;Tag 483;;26;;;;;;;;;;;
484;484;Tag 484;;26;;;;;;;;;;;
485;485;Tag 485;;26;;;;;;;;;;;
486;486;Tag 486;;26;;;;;;;;;;;
487;487;Tag 487;;26;;;;;;;;;;;
488;488;Tag 488;;26;;;;;;;;;;;
489;489;Tag 489;;26;;;;;;;;;;;
490;490;Tag 490;;26;;;;;;;;;;;
491;491;Tag 491;;26;;;;;;;;;;;
492;492;Tag 492;;26;;;;;;;;;;;
493;493;Tag 493;;26;;;;;;;;;;;
494;494;Tag 494;;26;;;;;;;;;;;
495;495;Tag 495;;26;;;;;;;;;;;
496;496;Tag 496;;26;;;;;;;;;;;
497;497;Tag 497;;26;;;;;;;;;;;
498;498;Tag 498;;26;;;;;;;;;;;
499;499;Tag 499;;26;;;;;;;;;;;
500;500;Tag 500;;26;;;;;;;;;;;
